model,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,accuracy_mean,precision_mean,recall_mean,f1_mean
logistic_regression_v2,0.7369475341212889,0.029613187040229878,0.36011148283730854,0.033231593633501276,0.679261537659494,0.27753427000688236,0.6873786407766991,0.3951309938356773
random_forest_v2,0.7223678884667699,0.02849891200251384,0.35229071594603106,0.04295805569646789,0.8181074893236193,0.3868057784911717,0.3203883495145631,0.3489361532437867
xgboost_v1,0.7137349678720509,0.029900213510797528,0.3511350010821125,0.0322977654965515,0.8517119136679396,0.6004166666666666,0.09708737864077671,0.16338530785879007
