model,roc_auc_mean,roc_auc_std,pr_auc_mean,accuracy_mean,precision_mean,recall_mean,f1_mean
logistic_regression,0.7322580202617138,0.0321432128334882,0.35671077681006874,0.6742493950412937,0.2745990220865489,0.6912621359223301,0.3927882816303507
random_forest,0.7177662281318886,0.029516309377545073,0.34263215734309116,0.8128007958954042,0.36786267764517433,0.3126213592233009,0.33647178849014886
