model_type,model,accuracy,precision,recall,f1,roc_auc,average_precision,TN,FP,FN,TP
advanced,xgboost,0.7337142857142858,0.7513846153846154,0.6981132075471698,0.7237700059276823,0.7988171179810997,0.7798845062341219,5388,1616,2112,4884
advanced,random_forest,0.7316428571428572,0.752376499922082,0.69010863350486,0.7198986058301647,0.7965078723291013,0.779126781524724,5415,1589,2168,4828
advanced,logistic,0.7250714285714286,0.7505174335296927,0.673813607775872,0.7101001732319048,0.7884799819526472,0.767281933854188,5437,1567,2282,4714
lite,random_forest,0.6157142857142858,0.6112641145689892,0.634505431675243,0.622667975873194,0.6642883189512878,0.6418578715495233,4181,2823,2557,4439
lite,xgboost,0.6129285714285714,0.6105115627189909,0.6226415094339622,0.616516877786427,0.6633891553923772,0.6401871005880722,4225,2779,2640,4356
lite,logistic,0.6151428571428571,0.6142045454545455,0.6180674671240709,0.6161299515531491,0.6630388389514577,0.6437527705970076,4288,2716,2672,4324
