threshold,accuracy,precision,recall,f1
0.2,0.6160714285714286,0.5675169182717335,0.9739145971055923,0.7171424812524668
0.25,0.6610714285714285,0.6042848870874349,0.9322851527604074,0.7332771219786397
0.3,0.6969642857142857,0.6426628675042093,0.8865463641236376,0.7451569304700405
0.35,0.7195535714285715,0.6756795422031473,0.8438449169197785,0.7504568205291173
0.4,0.7324107142857142,0.707866965142309,0.7909594425585135,0.7471099485275504
0.45,0.7383035714285714,0.735929203539823,0.7428979810612828,0.7393971725793544
0.5,0.7429464285714286,0.7622539560015438,0.7057352152939075,0.7329065776046015
0.55,0.7434821428571429,0.7901576480613549,0.6626764338038235,0.7208240209892138
0.6,0.7366071428571429,0.8129581461338378,0.614257638020368,0.6997761042133116
0.65,0.7241964285714285,0.8282722513089005,0.5653028408075755,0.67197621323139
0.7,0.7149107142857143,0.836317851147174,0.5340360907629087,0.6518373132700905
0.75,0.7046428571428571,0.8477666362807658,0.49848132928354477,0.6278127812781278
0.8,0.6808928571428572,0.8733850129198967,0.42272646060389496,0.5697086443534795
